Run_ID,Revenue_Mult,CAPEX_Mult,OPEX_Mult,Solar_Mult,Project_IRR,Equity_IRR,NPV_USD,Payback_Years
397,0.917240977935128,1.00689151064371,0.8713433185617272,0.8539324758252697,0.01871360887625386,0.034495594832023316,-29018245.799636118,20.0
398,1.0436559804157668,1.0723147872868957,0.7164481077349794,0.9495134647645032,0.04476539051317471,0.0535812916345103,-22594699.290584862,18.0
399,1.0619154261005197,1.1645996375769359,1.002495244921049,0.9635998529385432,0.03395251001952625,0.045723164460134795,-28506613.514679376,19.0
400,0.9817103558895159,1.1099901135318548,0.9224842985050558,0.9600403996674873,0.030462190163445216,0.0431816087501148,-28321904.162706826,19.0
401,0.9517256477817968,0.923733711339303,1.0147204379193755,1.081233922923478,0.058923693613362,0.06410245110978795,-15017352.664993005,18.0
402,1.032307927311603,0.979811719829897,0.9649826477301348,0.9218404595651671,0.04363126507153431,0.05282873718865481,-21026466.695922714,18.0
403,1.088310977714716,0.9937730242389758,0.978342410369125,1.159655378392243,0.07877583013667237,0.07799576766064889,-8729125.917206673,17.0
404,1.0298752908365687,0.9398567159923853,0.9488370884553348,1.0574222854598379,0.06596602073256555,0.06910609571439694,-12868403.667808596,17.0
405,1.0113270410537765,0.8849377617346107,1.1103074721490245,0.9665927957230503,0.054481986446457326,0.06092200105889881,-15777916.755136326,18.0
406,1.1873297776217546,1.0864038452571718,0.9463213725209498,1.0640508180867556,0.06921731502332454,0.07136060238744807,-13548974.88248531,17.0
407,1.0067855510527404,1.0682218940097776,1.058167938075337,0.9576821672504563,0.03411901018100233,0.045881170728725475,-26104673.991292328,19.0
408,0.9356450167682538,1.0823968654064928,0.9598269601472151,0.9798175768379002,0.0287228200732371,0.04192740810369741,-28173090.981817152,19.0
409,0.9044877420650647,1.0338879252474769,1.2475029903091774,0.9466233542872864,0.017187191790773024,0.03345505022414182,-30251662.957943197,20.0
410,1.0024219456672758,1.1129776444332344,0.9904430330505142,1.0226185898124867,0.039133934883504126,0.049503649839911575,-25470925.121762887,18.0
